S_No,president_name,prior,party,vice,salary,date_updated,date_created
29,"WARREN G. HARDING","U.S. Senator   ( Class 3 )   from  Ohio   (1915â€“1921)",Republican,"Calvin Coolidge","$235,000.00",2021-07-14,2012-03-04
30,"CALVIN COOLIDGE","29th  Vice President of the United States",Republican,"Office vacant","$245,000.00",2021-07-14,2012-03-04
31,"HERBERT HOOVER","3rd  United States Secretary of Commerce   (1921â€“1928)",Republican,"Charles Curtis","$255,000.00",2021-07-14,2012-03-04
32,"FRANKLIN D. ROOSEVELT","44th  Governor of New York   ( 1929â€“1932 )",Democratic,"John Nance Garner","$265,000.00",2021-07-14,2012-03-04
33,"HARRY S. TRUMAN","34th  Vice President of the United States",Democratic,"Office vacant","$275,000.00",2021-07-14,2012-03-04
34,"DWIGHT D. EISENHOWER","Supreme Allied Commander Europe   ( 1949â€“1952 )",Republican,"Richard Nixon","$285,000.00",2021-07-14,2012-03-04
35,"JOHN F. KENNEDY","U.S. Senator   ( Class 1 )   from  Massachusetts   (1953â€“1960)",Democratic,"Lyndon B. Johnson","$295,000.00",2021-07-14,2012-03-04
36,"LYNDON B. JOHNSON","37th  Vice President of the United States",Democratic,"Office vacant","$305,000.00",2021-07-14,2012-03-04
37,"RICHARD NIXON","36th  Vice President of the United States   (1953â€“1961)",Republican,"Spiro Agnew","$315,000.00",2021-07-14,2012-03-04
38,"GERALD FORD","40th  Vice President of the United States",Republican,"Office vacant","$325,000.00",2021-07-14,2012-03-04
39,"JIMMY CARTER","76th  Governor of Georgia   (1971â€“1975)",Democratic,"Walter Mondale","$335,000.00",2021-07-14,2012-03-04
40,"RONALD REAGAN","33rd  Governor of California   ( 1967â€“1975 )",Republican,"George H. W. Bush","$345,000.00",2021-07-14,2012-03-04
41,"GEORGE H. W. BUSH","43rd  Vice President of the United States",Republican,"Dan Quayle","$355,000.00",2021-07-14,2012-03-04
42,"BILL CLINTON","40th & 42nd  Governor of Arkansas   (1979â€“1981 & 1983â€“1992)",Democratic,"Al Gore","$365,000.00",2021-07-14,2012-03-04
43,"GEORGE W. BUSH","46th  Governor of Texas   ( 1995â€“2000 )",Republican,"Dick Cheney","$375,000.00",2021-07-14,2012-03-04
44,"BARACK OBAMA","U.S. Senator   ( Class 3 )   from  Illinois   ( 2005â€“2008 )",Democratic,"Joe Biden","$395,000.00",2021-07-14,2020-02-01
44,"BARACK OBAMA","U.S. Senator   ( Class 3 )   from  Illinois   ( 2005â€“2008 )",Democratic,"Joe Biden","$395,000.00",2021-07-14,2020-02-01
45,"DONALD TRUMP","Chairman of   The Trump Organization   ( 1971â€“present )",Republican,"Mike Pence","$405,000.00",2021-07-14,2020-02-01
